InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV7039,SKU29442,Car Accessory,30,2024-02-18,81.74,1022,United Kingdom
INV7643,SKU66059,Action Figure,7,2024-02-18,98.19,1061,United Kingdom
INV9914,SKU60793,Garden Tool,24,2024-02-20,45.13,1033,Spain
INV2353,SKU66223,Water Bottle,33,2024-02-20,25.7,1098,United Kingdom
INV5767,SKU21492,Jeans,38,2024-02-21,74.72,1014,France
INV2744,SKU18561,Water Bottle,-11,2024-02-21,55.62,1081,EIRE
INV5668,SKU13515,Non-Fiction,33,2024-02-22,33.6,1006,EIRE
INV7857,SKU63031,Hair Product,-2,2024-02-23,34.97,1091,United Kingdom
INV6134,SKU59832,Camera,35,2024-02-23,252.03,1040,France
INV3378,SKU95162,Running Shoes,35,2024-02-24,9.52,1098,Switzerland
INV3436,SKU40065,Dress,18,2024-02-25,92.98,1054,United Kingdom
INV6681,SKU68762,Lipstick,47,2024-02-25,47.45,1056,United Kingdom
INV4833,SKU79993,Yoga Mat,31,2024-02-27,37.42,1073,Switzerland
INV9154,SKU74553,Kitchen Item,19,2024-02-27,1.16,1003,Germany
INV6851,SKU26805,Basketball,5,2024-02-27,32.46,1057,United Kingdom
INV8306,SKU56844,Shoes,42,2024-02-28,58.76,1028,Spain
INV8421,SKU79632,Magazine,29,2024-02-29,15.78,1038,Spain
INV4744,SKU23090,Non-Fiction,25,2024-02-29,12.04,1019,United Kingdom
INV5901,SKU93746,Hair Product,20,2024-03-03,99.94,1061,United Kingdom
INV4677,SKU12717,Tablet,30,2024-03-03,74.77,1006,Belgium
INV3209,SKU18270,Car Accessory,3,2024-03-04,88.69,1040,Portugal
INV3608,SKU24168,Lipstick,15,2024-03-04,81.84,1058,United Kingdom
INV7170,SKU86415,Camera,19,2024-03-05,192.04,1006,United Kingdom
INV8303,SKU22928,Shoes,31,2024-03-06,53.82,1019,United Kingdom
INV7694,SKU11967,Magazine,43,2024-03-07,25.32,1056,Switzerland
INV1266,SKU26284,Furniture,28,2024-03-07,99.57,1016,Spain
INV9147,SKU71080,Scarf,21,2024-03-08,37.7,1052,United Kingdom
INV1310,SKU67807,Doll,45,2024-03-08,41.63,1099,Switzerland
INV3253,SKU59089,Cleaning Product,25,2024-03-09,64.56,1030,Italy
INV3318,SKU36767,Lamp,36,2024-03-09,24.39,1010,Switzerland
INV5942,SKU97501,Laptop,39,2024-03-10,106.51,1085,United Kingdom
INV3669,SKU85007,Tennis Racket,44,2024-03-11,27.64,1052,United Kingdom
INV9175,SKU36170,Gym Bag,17,2024-03-11,23.69,1031,Netherlands
INV2723,SKU76112,Doll,17,2024-03-12,51.1,1059,United Kingdom
INV7944,SKU64289,Kitchen Item,10,2024-03-12,31.02,1067,Germany
INV6929,SKU80742,Running Shoes,43,2024-03-13,28.37,1024,United Kingdom
INV4992,SKU81820,Furniture,22,2024-03-13,81.58,1075,Belgium
INV4844,SKU96772,Cookbook,6,2024-03-15,6.16,1008,Switzerland
INV5712,SKU88696,Textbook,33,2024-03-17,8.83,1013,United Kingdom
INV3844,SKU11965,Hair Product,25,2024-03-17,46.42,1008,Spain
INV9814,SKU79888,Laptop,41,2024-03-18,185.07,1013,United Kingdom
INV9832,SKU25448,Textbook,17,2024-03-18,0.75,1050,United Kingdom
INV2342,SKU22091,Charger,31,2024-03-19,92.78,1067,Portugal
INV2752,SKU43330,Tennis Racket,26,2024-03-20,46.25,1024,Germany
INV5355,SKU79339,Laptop,5,2024-03-21,158.15,1092,United Kingdom
INV4490,SKU92323,Furniture,29,2024-03-22,9.58,1012,United Kingdom
INV9114,SKU41524,T-Shirt,27,2024-03-23,14.14,1037,United Kingdom
INV7301,SKU20959,Skincare,45,2024-03-24,70.61,1030,United Kingdom
INV2404,SKU38389,Maintenance Item,11,2024-03-24,83.21,1076,United Kingdom
INV1448,SKU73172,Jacket,41,2024-03-25,68.01,1029,Belgium
INV8443,SKU15530,Tool Kit,41,2024-03-28,69.63,1059,EIRE
INV2341,SKU71644,Smartphone,23,2024-03-29,174.64,1083,United Kingdom
INV9757,SKU93040,Car Accessory,22,2024-03-29,93.25,1098,Germany
INV9595,SKU88222,Fiction Novel,19,2024-04-01,16.57,1090,Spain
INV6799,SKU71428,Textbook,34,2024-04-03,22.75,1039,Netherlands
INV9553,SKU65139,Action Figure,28,2024-04-03,93.9,1061,Belgium
INV6340,SKU64927,Gym Bag,21,2024-04-04,78.12,1041,United Kingdom
INV1132,SKU84177,Cable,19,2024-04-04,123.94,1081,United Kingdom
INV2388,SKU27606,Jacket,23,2024-04-04,58.81,1059,Netherlands
INV3482,SKU99440,Car Accessory,6,2024-04-06,88.56,1087,France
INV9454,SKU32865,Garden Tool,30,2024-04-06,79.98,1080,United Kingdom
INV6742,SKU87207,Hat,31,2024-04-07,91.1,1010,United Kingdom
INV8415,SKU23432,Gym Bag,25,2024-04-12,51.58,1089,United Kingdom
INV9903,SKU59441,Cleaning Product,45,2024-04-13,57.61,1029,Belgium
INV2625,SKU37235,Yoga Mat,11,2024-04-14,18.21,1009,United Kingdom
INV6310,SKU74042,Laptop,20,2024-04-14,18.97,1010,United Kingdom
INV4005,SKU84529,Hat,3,2024-04-14,88.67,1020,United Kingdom
INV8688,SKU74990,Lamp,21,2024-04-15,33.76,1035,United Kingdom
INV8106,SKU84202,Tablet,10,2024-04-15,40.19,1038,Belgium
INV9691,SKU72240,Laptop,29,2024-04-15,219.17,1079,United Kingdom
INV8342,SKU12260,Jacket,45,2024-04-18,31.31,1074,United Kingdom
INV9159,SKU92203,Cookbook,31,2024-04-19,51.83,1038,United Kingdom
INV9784,SKU78843,Laptop,3,2024-04-20,109.59,1094,United Kingdom
INV7033,SKU87554,Tool Kit,35,2024-04-20,15.91,1052,United Kingdom
INV4479,SKU86486,Headphones,5,2024-04-21,193.83,1042,United Kingdom
INV9951,SKU38644,Lipstick,42,2024-04-22,30.47,1004,Netherlands
INV6103,SKU31516,Tennis Racket,39,2024-04-23,31.01,1073,EIRE
INV1420,SKU88893,Jacket,49,2024-04-23,37.47,1079,Switzerland
INV2612,SKU17944,Hair Product,7,2024-04-23,19.97,1068,Belgium
INV3848,SKU14073,Perfume,36,2024-04-24,10.38,1013,France
INV6286,SKU39552,Car Toy,6,2024-04-25,20.43,1070,United Kingdom
INV8187,SKU35292,Charger,9,2024-04-25,200.44,1056,Portugal
INV8767,SKU27342,Kitchen Item,15,2024-04-27,61.23,1039,Spain
INV7961,SKU64135,Scarf,37,2024-04-28,36.19,1074,United Kingdom
INV7698,SKU57483,Dress,38,2024-04-28,26.87,1068,Netherlands
INV1945,SKU83242,Cleaning Product,26,2024-04-29,81.83,1095,United Kingdom
INV6139,SKU67199,Hat,13,2024-04-29,5.39,1055,United Kingdom
INV4872,SKU67986,Lipstick,26,2024-04-30,30.79,1096,United Kingdom
INV9095,SKU29548,Jeans,7,2024-05-01,64.79,1058,Spain
INV7513,SKU37815,Hair Product,39,2024-05-01,8.23,1071,United Kingdom
INV9857,SKU66525,Water Bottle,29,2024-05-04,11.23,1009,United Kingdom
INV4048,SKU75410,Skincare,50,2024-05-05,70.7,1027,Spain
